time	V(out)
Step Information: X=100n Y=1K  (Run: 1/6)
2.450630207357843e-003	9.889817e-001
2.462348957357843e-003	9.902002e-001
2.476997394857844e-003	9.915356e-001
2.491645832357844e-003	9.926891e-001
2.501000000000000e-003	9.933434e-001
2.501600000000001e-003	9.912393e-001
2.502000000000000e-003	9.883776e-001
2.515869062499997e-003	8.605580e-001
2.527587812499998e-003	7.653897e-001
2.539306562499998e-003	6.807460e-001
2.551025312499999e-003	6.054629e-001
2.562744062499999e-003	5.385053e-001
2.574462812500000e-003	4.789526e-001
2.586181562500000e-003	4.259856e-001
2.597900312500001e-003	3.788763e-001
2.609619062500001e-003	3.369767e-001
2.621337812500001e-003	2.997108e-001
2.633056562500002e-003	2.665661e-001
2.644775312500002e-003	2.370868e-001
2.656494062500003e-003	2.108676e-001
2.668212812500003e-003	1.875479e-001
2.679931562500004e-003	1.668072e-001
2.691650312500004e-003	1.483601e-001
2.703369062500005e-003	1.319531e-001
2.715087812500005e-003	1.173606e-001
2.718017500000005e-003	1.139719e-001
2.729736250000006e-003	1.013679e-001
2.741455000000006e-003	9.015769e-002
2.753173750000006e-003	8.018723e-002
2.764892500000007e-003	7.131940e-002
2.776611250000007e-003	6.343226e-002
2.788330000000008e-003	5.641735e-002
2.800048750000008e-003	5.017820e-002
2.811767500000009e-003	4.462904e-002
2.823486250000009e-003	3.969356e-002
2.835205000000010e-003	3.530389e-002
2.846923750000010e-003	3.139967e-002
2.858642500000010e-003	2.792721e-002
2.870361250000011e-003	2.483876e-002
2.882080000000011e-003	2.209187e-002
2.893798750000012e-003	1.964875e-002
2.905517500000012e-003	1.747581e-002
2.917236250000013e-003	1.554318e-002
2.928955000000013e-003	1.382427e-002
2.940673750000014e-003	1.229546e-002
2.952392500000014e-003	1.093572e-002
2.964111250000014e-003	9.726347e-003
2.978759687500015e-003	8.400939e-003
2.993408125000016e-003	7.256146e-003
2.999494374999564e-003	6.826232e-003
3.000000000000000e-003	6.791779e-003
Step Information: X=200n Y=1K  (Run: 2/6)
0.000000000000000e+000	0.000000e+000
6.000000496442226e-008	1.124820e-005
1.200000099288445e-007	4.498555e-005
2.400000198576890e-007	1.798844e-004
4.800000397153781e-007	5.874839e-004
5.199999602846219e-007	6.793707e-004
5.999998014231095e-007	9.150149e-004
7.599994837000847e-007	1.489937e-003
1.000000000000000e-006	2.495768e-003
2.512003252689466e-006	1.000120e-002
6.977694057008924e-006	3.181686e-002
1.283706905700892e-005	5.977062e-002
1.869644405700892e-005	8.691729e-002
2.748550655700892e-005	1.261748e-001
3.920425655700893e-005	1.759052e-001
5.092300655700894e-005	2.228054e-001
6.557144405700895e-005	2.776951e-001
8.314956905700897e-005	3.384702e-001
1.036573815570090e-004	4.029421e-001
1.270948815570090e-004	4.689668e-001
1.534620690570090e-004	5.345585e-001
1.798292565570090e-004	5.920486e-001
2.061964440570091e-004	6.424376e-001
2.325636315570091e-004	6.866028e-001
2.589308190570091e-004	7.253128e-001
2.852980065570091e-004	7.592413e-001
3.116651940570092e-004	7.889792e-001
3.380323815570092e-004	8.150439e-001
3.643995690570092e-004	8.378892e-001
3.907667565570092e-004	8.579127e-001
4.171339440570093e-004	8.754629e-001
4.435011315570093e-004	8.908454e-001
4.698683190570093e-004	9.043279e-001
4.980703125000000e-004	9.169143e-001
5.010000000000000e-004	9.181235e-001
5.010929687500000e-004	9.181039e-001
5.020000000000001e-004	9.160147e-001
5.298725781250009e-004	7.968934e-001
5.562397656250009e-004	6.984633e-001
5.826069531250010e-004	6.121910e-001
6.089741406250010e-004	5.365748e-001
6.353413281250010e-004	4.702986e-001
6.617085156250010e-004	4.122086e-001
6.880757031250011e-004	3.612937e-001
7.144428906250011e-004	3.166677e-001
7.408100781250011e-004	2.775537e-001
7.671772656250011e-004	2.432711e-001
7.935444531250012e-004	2.132229e-001
8.199116406250012e-004	1.868862e-001
8.462788281250012e-004	1.638025e-001
8.726460156250012e-004	1.435701e-001
8.990132031250012e-004	1.258367e-001
9.253803906250013e-004	1.102937e-001
9.517475781250013e-004	9.667049e-002
9.781147656250013e-004	8.473002e-002
1.000000000000000e-003	7.594342e-002
1.000078468750004e-003	7.595467e-002
1.000549281250027e-003	7.668035e-002
1.001000000000000e-003	7.807554e-002
1.009653815624661e-003	1.170688e-001
1.018442878124661e-003	1.550299e-001
1.030161628124660e-003	2.031181e-001
1.044810065624660e-003	2.593983e-001
1.062388190624659e-003	3.217128e-001
1.082896003124658e-003	3.878179e-001
1.106333503124657e-003	4.555151e-001
1.132700690624656e-003	5.227684e-001
1.159067878124655e-003	5.817147e-001
1.185435065624655e-003	6.333802e-001
1.211802253124654e-003	6.786641e-001
1.238169440624653e-003	7.183546e-001
1.264536628124652e-003	7.531427e-001
1.290903815624651e-003	7.836338e-001
1.317271003124650e-003	8.103588e-001
1.343638190624649e-003	8.337827e-001
1.370005378124648e-003	8.543135e-001
1.396372565624647e-003	8.723083e-001
1.422739753124646e-003	8.880804e-001
1.449106940624645e-003	9.019044e-001
1.475474128124644e-003	9.140209e-001
1.501000000000000e-003	9.243272e-001
1.501278906250000e-003	9.241304e-001
1.502000000000000e-003	9.221874e-001
1.529872578124989e-003	8.022634e-001
1.556239765624988e-003	7.031701e-001
1.582606953124987e-003	6.163164e-001
1.608974140624986e-003	5.401907e-001
1.635341328124985e-003	4.734678e-001
1.661708515624984e-003	4.149863e-001
1.688075703124983e-003	3.637283e-001
1.714442890624983e-003	3.188016e-001
1.740810078124982e-003	2.794241e-001
1.767177265624981e-003	2.449104e-001
1.793544453124980e-003	2.146597e-001
1.819911640624979e-003	1.881455e-001
1.846278828124978e-003	1.649063e-001
1.872646015624977e-003	1.445375e-001
1.899013203124976e-003	1.266847e-001
1.925380390624975e-003	1.110369e-001
1.951747578124974e-003	9.732193e-002
1.978114765624975e-003	8.530099e-002
2.000000000000000e-003	7.645518e-002
2.000078468749815e-003	7.646623e-002
2.000549281248706e-003	7.719071e-002
2.001000000000000e-003	7.858475e-002
2.009653815641441e-003	1.175564e-001
2.018442878141441e-003	1.554966e-001
2.030161628141442e-003	2.035583e-001
2.044810065641442e-003	2.598074e-001
2.062388190641443e-003	3.220875e-001
2.082896003141444e-003	3.881560e-001
2.106333503141445e-003	4.558158e-001
2.132700690641446e-003	5.230319e-001
2.159067878141447e-003	5.819458e-001
2.185435065641448e-003	6.335827e-001
2.211802253141449e-003	6.788415e-001
2.238169440641450e-003	7.185102e-001
2.264536628141451e-003	7.532790e-001
2.290903815641452e-003	7.837533e-001
2.317271003141453e-003	8.104635e-001
2.343638190641454e-003	8.338746e-001
2.370005378141455e-003	8.543940e-001
2.396372565641456e-003	8.723788e-001
2.422739753141457e-003	8.881422e-001
2.449106940641458e-003	9.019586e-001
2.475474128141459e-003	9.140684e-001
2.501000000000000e-003	9.243690e-001
2.501278906250000e-003	9.241721e-001
2.502000000000000e-003	9.222291e-001
2.529872578125002e-003	8.022996e-001
2.556239765625003e-003	7.032018e-001
2.582606953125004e-003	6.163442e-001
2.608974140625005e-003	5.402150e-001
2.635341328125006e-003	4.734891e-001
2.661708515625007e-003	4.150051e-001
2.688075703125008e-003	3.637447e-001
2.714442890625009e-003	3.188160e-001
2.737880390625010e-003	2.835602e-001
2.764247578125011e-003	2.485356e-001
2.790614765625012e-003	2.178372e-001
2.816981953125013e-003	1.909305e-001
2.843349140625014e-003	1.673473e-001
2.869716328125015e-003	1.466770e-001
2.896083515625016e-003	1.285599e-001
2.922450703125017e-003	1.126805e-001
2.948817890625018e-003	9.876251e-002
2.975185078125019e-003	8.656364e-002
2.999215312498521e-003	7.675942e-002
3.000000000000000e-003	7.645863e-002
Step Information: X=300n Y=1K  (Run: 3/6)
0.000000000000000e+000	0.000000e+000
1.200000099288445e-007	2.999358e-005
2.400000198576890e-007	1.199486e-004
4.800000397153781e-007	3.917706e-004
5.199999602846219e-007	4.530535e-004
5.999998014231095e-007	6.102286e-004
7.599994837000847e-007	9.937489e-004
1.000000000000000e-006	1.664785e-003
4.048006557008924e-006	1.174422e-002
9.907381557008925e-006	3.084795e-002
1.869644405700892e-005	5.882942e-002
3.041519405700892e-005	9.488538e-002
